[2024-06-09 16:41:38,512: INFO: test : division by zero]
[2024-06-09 16:42:48,008: INFO: test : name 'c' is not defined]
[2025-01-10 11:31:15,503: INFO: test : name 'c' is not defined]
[2025-01-12 16:42:05,601: INFO: main : Satge Data Ingestion stage initiated]
[2025-01-12 16:42:05,605: INFO: common : yaml file: config\config.yaml loaded successfully]
[2025-01-12 16:42:05,605: INFO: common : yaml file: params.yaml loaded successfully]
[2025-01-12 16:42:05,607: INFO: common : created directory at: artifacts]
[2025-01-12 16:42:05,607: INFO: common : created directory at: artifacts/data_ingestion]
[2025-01-12 16:42:05,609: INFO: data_ingestion : Downloading data from https://raw.githubusercontent.com/santhoshreddybora/NLP_data/refs/heads/main/summarizer-data.zip]
[2025-01-12 16:42:05,609: INFO: data_ingestion : artifacts/data_ingestion/data.zip already exists]
[2025-01-12 16:42:05,609: INFO: data_ingestion : Extracting zip file artifacts/data_ingestion/data.zip]
[2025-01-12 16:42:05,734: INFO: data_ingestion : Data extracted to artifacts/data_ingestion]
[2025-01-12 16:42:05,734: INFO: main : Stage Data Ingestion stage Completed]
[2025-01-12 16:42:50,470: INFO: main : Satge Data Ingestion stage initiated]
[2025-01-12 16:42:50,470: INFO: common : yaml file: config\config.yaml loaded successfully]
[2025-01-12 16:42:50,470: INFO: common : yaml file: params.yaml loaded successfully]
[2025-01-12 16:42:50,470: INFO: common : created directory at: artifacts]
[2025-01-12 16:42:50,470: INFO: common : created directory at: artifacts/data_ingestion]
[2025-01-12 16:42:50,470: INFO: data_ingestion : Downloading data from https://raw.githubusercontent.com/santhoshreddybora/NLP_data/refs/heads/main/summarizer-data.zip]
[2025-01-12 16:42:54,640: INFO: data_ingestion : Data downloaded to artifacts/data_ingestion/data.zip]
[2025-01-12 16:42:54,642: INFO: data_ingestion : Extracting zip file artifacts/data_ingestion/data.zip]
[2025-01-12 16:42:54,785: INFO: data_ingestion : Data extracted to artifacts/data_ingestion]
[2025-01-12 16:42:54,787: INFO: main : Stage Data Ingestion stage Completed]
